,participant,dataset,number,score,rule,solved,hard,p,n,tp,fn,fp,tn,precision,recall,tnr,fnr,accuracy,f1,total_duration,images_mean,images_variance,images_duration,images_duration_min,images_duration_max,pause_mean,pause_variance,pause_duration,pause_duration_min,pause_duration_max
119,12,cr1,8,1.0,0,1,0,6,2,6,0,1,1,0.8571,1.0,0.5,0.0,0.875,0.9231,176.31900000000005,21.189,88.152,169.509,8.853,36.075,0.973,0.453,6.81,0.606,2.488
120,13,sr,35,,0,0,0,18,17,10,8,7,10,0.5882,0.5556,0.5882,0.4444,0.5714,0.5714,171.52499999999995,3.185,5.706,111.469,0.938,14.277999999999999,1.766,0.519,60.056000000000004,1.13,4.2589999999999995
121,13,svrt1,17,10.0,1,1,0,7,10,6,1,4,6,0.6,0.8571,0.6,0.1429,0.7059,0.7059,113.516,3.8680000000000003,7.4179999999999975,65.75,1.3019999999999998,10.792,2.985,5.805,47.76600000000001,1.3030000000000002,10.97
122,13,rbp5,35,,0,0,0,17,18,12,5,8,10,0.6,0.7059,0.5556,0.2941,0.6286,0.6486,207.58700000000002,3.609,6.2479999999999976,126.31299999999999,1.7009999999999998,12.979000000000001,2.39,2.9010000000000002,81.274,1.085,7.892
123,13,rbp1,35,,0,0,0,18,17,17,1,15,2,0.5312,0.9444,0.1176,0.0556,0.5429,0.68,327.173,8.022,7.5870000000000015,280.76599999999996,2.653,15.649000000000001,1.365,0.361,46.407,0.966,4.1960000000000015
124,13,sd,8,1.0,1,1,0,6,2,5,1,0,2,1.0,0.8333,1.0,0.1667,0.875,0.9091,57.537,3.685,2.27,29.479,2.412,6.992000000000001,4.008,16.154,28.058000000000003,1.3319999999999999,10.735
125,13,svrt19,7,0.0,1,1,0,5,2,5,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,33.753,3.3960000000000004,8.737,23.77,1.682,9.854,1.6640000000000001,0.275,9.982999999999999,1.038,2.369
126,13,fp5,13,6.0,1,1,0,7,6,7,0,2,4,0.7778,1.0,0.6667,0.0,0.8462,0.875,145.51600000000005,10.135,18.669,131.75799999999998,2.878,19.627,1.146,0.12,13.758,0.905,2.029
127,13,fp1,35,,1,0,1,18,17,14,4,6,11,0.7,0.7778,0.6471,0.2222,0.7143,0.7368,481.707,12.642999999999999,42.085,442.505,2.404,31.991999999999997,1.153,0.05,39.202,0.825,1.694
128,13,svrt20,13,6.0,1,1,0,9,4,7,2,0,4,1.0,0.7778,1.0,0.2222,0.8462,0.875,68.78699999999999,3.855,6.902,50.11600000000001,1.6840000000000002,9.46,1.556,0.59,18.671,0.958,3.523
129,13,svrt21,10,3.0,1,1,0,4,6,3,1,2,4,0.6,0.75,0.6667,0.25,0.7,0.6667,72.911,5.039,8.363,50.39100000000001,2.095,11.584000000000001,2.502,4.689,22.52,1.072,7.7010000000000005
130,13,cr5,35,,0,0,0,17,18,9,8,14,4,0.3913,0.5294,0.2222,0.4706,0.3714,0.45,237.33700000000002,5.157,55.026,180.50099999999998,1.131,37.602,1.672,3.35,56.83600000000001,0.8490000000000001,10.81
131,13,cr1,23,16.0,0,1,0,15,8,12,3,6,2,0.6667,0.8,0.25,0.2,0.6087,0.7273,134.144,4.644,3.753,106.805,2.296,9.543,1.2429999999999999,0.565,27.339000000000002,0.847,4.055
132,14,sr,35,,0,0,0,18,17,7,11,7,10,0.5,0.3889,0.5882,0.6111,0.4857,0.4375,1084.195,22.268,483.475,779.375,0.8759999999999999,102.742,8.965,379.87199999999996,304.82,0.7020000000000001,100.323
133,14,svrt1,12,5.0,1,1,0,5,7,4,1,2,5,0.6667,0.8,0.7143,0.2,0.75,0.7273,49.953,2.9219999999999997,5.011,35.062,0.852,8.516,1.354,0.6920000000000001,14.890999999999998,0.581,3.113
134,14,rbp5,10,3.0,0,1,0,4,6,2,2,0,6,1.0,0.5,1.0,0.5,0.8,0.6667,185.08700000000002,16.714000000000002,339.55300000000005,167.142,2.9189999999999996,60.857,1.994,2.388,17.945,0.564,5.037
135,14,rbp1,24,17.0,0,1,1,13,11,11,2,5,6,0.6875,0.8462,0.5455,0.1538,0.7083,0.7586,596.905,22.482,774.826,539.5740000000002,0.6579999999999999,137.00799999999998,2.4930000000000003,30.849,57.331,0.516,26.169
136,14,sd,8,1.0,1,1,0,4,4,4,0,1,3,0.8,1.0,0.75,0.0,0.875,0.8889,50.215,5.547999999999999,20.919,44.386,1.3880000000000001,14.822000000000001,0.833,0.091,5.829,0.546,1.368
137,14,svrt19,8,1.0,1,1,0,5,3,5,0,1,2,0.8333,1.0,0.6667,0.0,0.875,0.9091,43.221,4.713,24.673000000000002,37.704,1.016,15.704,0.7879999999999999,0.047,5.517,0.528,1.176
138,14,fp5,8,1.0,1,1,0,5,3,4,1,0,3,1.0,0.8,1.0,0.2,0.875,0.8889,105.1,12.279000000000002,43.248999999999995,98.23200000000001,3.0060000000000002,21.996,0.981,0.10300000000000001,6.867999999999999,0.546,1.531
139,14,fp1,22,15.0,1,1,1,9,13,8,1,7,6,0.5333,0.8889,0.4615,0.1111,0.6364,0.6667,539.678,22.023000000000003,403.30199999999996,484.50199999999995,3.385,88.656,2.627,58.56800000000001,55.176,0.547,36.001
140,14,svrt20,14,7.0,1,1,0,5,9,3,2,3,6,0.5,0.6,0.6667,0.4,0.6429,0.5455,265.10900000000004,17.858,267.453,250.014,1.545,48.967,1.161,0.865,15.095,0.545,4.125
141,14,svrt21,10,3.0,1,1,0,4,6,3,1,0,6,1.0,0.75,1.0,0.25,0.9,0.8571,52.697,4.615,8.017999999999999,46.153,2.072,10.084,0.727,0.015,6.544,0.563,0.8690000000000001
142,14,cr5,35,,0,0,1,18,17,9,9,7,10,0.5625,0.5,0.5882,0.5,0.5429,0.5294,1019.45,27.765,593.068,971.789,2.551,87.155,1.402,0.988,47.661,0.537,4.505
143,14,cr1,35,,0,0,1,18,17,14,4,8,9,0.6364,0.7778,0.5294,0.2222,0.6571,0.7,576.727,14.203,121.87899999999999,497.11699999999996,4.413,63.891999999999996,2.3409999999999997,27.209,79.61,0.518,28.804000000000002
