,participant,dataset,number,score,rule,solved,hard,p,n,tp,fn,fp,tn,precision,recall,tnr,fnr,accuracy,f1,total_duration,images_mean,images_variance,images_duration,images_duration_min,images_duration_max,pause_mean,pause_variance,pause_duration,pause_duration_min,pause_duration_max
23,4,cr1,35,,1,0,1,17,18,7,10,4,14,0.6364,0.4118,0.7778,0.5882,0.6,0.5,354.219,9.421,17.677,329.74,3.209,20.383,0.72,0.016,24.479,0.5329999999999999,1.217
24,5,sr,33,26.0,1,1,1,16,17,13,3,7,10,0.65,0.8125,0.5882,0.1875,0.6970000000000001,0.7222,1027.065,29.219,3228.9320000000002,964.2130000000001,0.675,241.537,1.964,1.253,62.852,0.55,6.822
25,5,svrt1,9,2.0,1,1,0,6,3,5,1,1,2,0.8333,0.8333,0.6667,0.1667,0.7778,0.8333,44.853,3.4730000000000003,18.805999999999997,31.259,0.878,12.718,1.699,0.455,13.594000000000001,0.5329999999999999,2.533
26,5,rbp5,8,1.0,1,1,1,2,6,2,0,1,5,0.6667,1.0,0.8333,0.0,0.875,0.8,98.01899999999999,11.270999999999999,37.156,90.171,2.918,21.688000000000002,1.121,0.11599999999999999,7.848,0.8170000000000001,1.733
27,5,rbp1,9,2.0,1,1,0,5,4,4,1,0,4,1.0,0.8,1.0,0.2,0.8889,0.8889,136.785,14.004000000000001,28.84,126.038,5.6339999999999995,23.178,1.3430000000000002,0.503,10.747,0.617,2.659
28,5,sd,8,1.0,1,1,0,5,3,5,0,1,2,0.8333,1.0,0.6667,0.0,0.875,0.9091,34.342,3.048,3.793,24.386,1.4580000000000002,7.148,1.422,1.2590000000000001,9.956,0.6509999999999999,3.8310000000000004
29,5,svrt19,9,2.0,1,1,1,4,5,3,1,1,4,0.75,0.75,0.8,0.25,0.7778,0.75,60.48,5.301,14.588,47.713,1.266,13.819,1.5959999999999999,1.589,12.767000000000001,0.693,4.48
30,5,fp5,7,0.0,1,1,0,2,5,2,0,0,5,1.0,1.0,1.0,0.0,1.0,1.0,63.878,8.251,48.187,57.758,2.9930000000000003,21.459,1.02,0.039,6.12,0.767,1.284
31,5,fp1,7,0.0,1,1,0,4,3,4,0,0,3,1.0,1.0,1.0,0.0,1.0,1.0,82.10799999999998,11.089,3.571,77.625,8.681000000000001,14.062999999999999,0.747,0.026000000000000002,4.4830000000000005,0.55,1.0
32,5,svrt20,24,17.0,1,1,1,11,13,9,2,2,11,0.8182,0.8182,0.8462,0.1818,0.8333,0.8182,229.571,8.186,91.262,196.46400000000003,1.291,44.57100000000001,1.439,2.408,33.107,0.583,8.004
33,5,svrt21,11,4.0,1,1,1,6,5,5,1,2,3,0.7143,0.8333,0.6,0.1667,0.7273,0.7692,103.689,8.012,30.480999999999998,88.132,1.8019999999999998,17.815,1.556,1.639,15.557,0.65,4.752
34,5,cr5,9,2.0,0,1,0,2,7,1,1,0,7,1.0,0.5,1.0,0.5,0.8889,0.6667,79.539,7.704,64.111,69.333,0.9359999999999999,21.201999999999998,1.276,0.354,10.206,0.55,2.27
35,5,cr1,17,10.0,0,1,1,8,9,7,1,3,6,0.7,0.875,0.6667,0.125,0.7647,0.7778,315.228,17.403,30.191,295.855,5.7410000000000005,28.443,1.2109999999999999,0.442,19.373,0.667,2.69
36,6,sr,35,,0,0,0,18,17,11,7,9,8,0.55,0.6111,0.4706,0.3889,0.5429,0.5789,243.215,5.114,27.238000000000003,179.00099999999995,0.675,22.065,1.889,2.474,64.214,0.583,7.767
37,6,svrt1,12,5.0,1,1,0,6,6,4,2,1,5,0.8,0.6667,0.8333,0.3333,0.75,0.7273,47.532,2.826,29.251,33.911,0.743,19.914,1.238,0.409,13.621,0.55,2.387
38,6,rbp5,20,13.0,1,1,0,11,9,7,4,3,6,0.7,0.6364,0.6667,0.3636,0.65,0.6667,258.384,8.673,109.006,173.453,1.225,37.559,4.47,47.025,84.931,0.5670000000000001,21.995
39,6,rbp1,35,,1,0,0,17,18,9,8,13,5,0.4091,0.5294,0.2778,0.4706,0.4,0.4615,512.679,11.943,132.77200000000002,418.014,1.555,59.813,2.784,58.927,94.665,0.5329999999999999,45.01600000000001
40,6,sd,8,1.0,1,1,0,6,2,6,0,1,1,0.8571,1.0,0.5,0.0,0.875,0.9231,25.749000000000002,2.031,1.162,16.248,0.925,3.82,1.357,1.347,9.501,0.583,3.952
41,6,svrt19,9,2.0,1,1,0,5,4,5,0,1,3,0.8333,1.0,0.75,0.0,0.8889,0.9091,21.455,1.464,0.233,13.172,1.039,2.241,1.035,0.136,8.283,0.55,1.7
42,6,fp5,8,1.0,1,1,0,3,5,3,0,1,4,0.75,1.0,0.8,0.0,0.875,0.8571,92.778,10.765,21.092,86.117,5.4979999999999976,19.195,0.952,0.541,6.6610000000000005,0.583,2.602
43,6,fp1,12,5.0,1,1,0,5,7,5,0,1,6,0.8333,1.0,0.8571,0.0,0.9167,0.9091,177.85199999999998,13.979,44.729,167.748,4.672,23.023000000000003,0.919,0.184,10.104,0.5329999999999999,1.817
44,6,svrt20,7,0.0,1,1,0,5,2,5,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,21.477,2.144,0.979,15.011,1.087,3.647,1.078,0.445,6.466,0.6,2.367
45,6,svrt21,10,3.0,1,1,0,6,4,5,1,0,4,1.0,0.8333,1.0,0.1667,0.9,0.9091,49.24,3.907,3.527,39.074,1.965,7.382999999999999,1.13,0.591,10.166,0.5329999999999999,2.65
46,6,cr5,35,,0,0,1,17,18,9,8,6,12,0.6,0.5294,0.6667,0.4706,0.6,0.5625,563.745,13.215,289.2940000000001,462.516,1.071,65.403,2.977,19.326,101.229,0.5329999999999999,19.688
47,6,cr1,11,4.0,0,1,1,6,5,6,0,1,4,0.8571,1.0,0.8,0.0,0.9091,0.9231,255.72,21.149,34.887,232.634,12.236,31.335,2.309,22.992,23.086,0.5670000000000001,15.938
48,7,sr,21,14.0,1,1,0,11,10,5,6,2,8,0.7143,0.4545,0.8,0.5455,0.619,0.5556,789.763,33.21,2229.341,697.408,0.96,161.86,4.618,29.36,92.355,0.6829999999999999,22.322
49,7,svrt1,14,7.0,1,1,0,6,8,5,1,1,7,0.8333,0.8333,0.875,0.1667,0.8571,0.8333,102.635,4.24,26.451,59.36600000000001,0.953,17.404,3.3280000000000003,29.951999999999998,43.269,0.8,20.793000000000006
50,7,rbp5,21,14.0,1,1,0,10,11,5,5,3,8,0.625,0.5,0.7273,0.5,0.619,0.5556,377.466,9.738999999999999,189.753,204.518,0.377,47.713,8.647,926.798,172.94799999999995,0.55,137.82299999999998
51,7,rbp1,7,0.0,1,1,0,7,0,7,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,87.94300000000001,11.932,13.972999999999999,83.525,7.313,17.875999999999994,0.736,0.064,4.418,0.45,1.067
52,7,sd,7,0.0,1,1,0,5,2,5,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,21.06,1.7719999999999998,0.452,12.405999999999999,1.1340000000000001,2.855,1.442,0.802,8.654,0.5670000000000001,2.55
