,participant,dataset,image,trial,true_value,pred_value,duration,break,switches_fixations,fixations,p_nan,len,switches,line_start_x,line_start_y,line_end_x,line_end_y
585,5,cr5,single_chess_nomirror_00140,6,0,0,1.599,0.7170000000000001,1.0,4.0,0.0,96.0,8.0,333.5757575757576,121.07359307359295,125.7835497835497,468.7792207792208
586,5,cr5,single_chess_nomirror_00366,7,0,0,0.937,0.55,1.0,3.0,0.0,56.0,7.0,143.79220779220776,205.57575757575748,386.2164502164502,303.9307359307358
587,5,cr5,single_chess_nomirror_00430,8,0,0,0.936,1.001,0.0,2.0,0.0,56.0,8.0,171.49783549783547,427.2207792207792,314.18181818181824,109.99134199134191
588,5,cr5,single_chess_nomirror_00454,9,0,0,3.707,1.217,2.0,7.0,0.0,222.0,10.0,46.82251082251078,326.095238095238,463.7922077922078,170.94372294372292
589,5,cr1,single_chess_nomirror_00234,1,0,0,5.7410000000000005,0.0,0.0,18.0,3.2,344.0,2.0,325.26406926406924,363.49783549783547,188.12121212121207,144.62337662337652
590,5,cr1,single_chess_nomirror_00473,2,0,1,6.318,0.75,4.0,21.0,0.0,379.0,23.0,329.41991341991337,352.4155844155844,195.047619047619,155.70562770562762
591,5,cr1,single_chess_nomirror_00490,3,0,1,16.435,2.69,11.0,50.0,1.73,984.0,91.0,117.47186147186142,302.5454545454545,401.4545454545455,190.33766233766227
592,5,cr1,single_chess_nomirror_00009,4,0,0,16.519000000000002,1.454,12.0,49.0,1.01,990.0,38.0,376.51948051948057,297.0043290043289,124.39826839826831,198.6493506493506
593,5,cr1,single_chess_mirror_00350,5,1,1,18.568,0.7829999999999999,6.0,61.0,1.53,1114.0,50.0,102.23376623376622,256.83116883116884,434.7012987012987,238.8225108225108
594,5,cr1,single_chess_mirror_00111,6,1,1,18.07,0.733,0.0,60.0,0.83,1084.0,12.0,123.01298701298694,298.3896103896103,380.67532467532476,205.57575757575748
595,5,cr1,single_chess_nomirror_00081,7,0,1,14.175999999999998,1.067,0.0,50.0,1.88,851.0,6.0,154.87445887445887,166.7878787878787,397.2987012987013,344.10389610389603
