,x,y,times
0,,,0.0
1,,,16.6
2,,,33.3
3,,,50.0
4,,,66.6
5,,,83.3
6,,,100.0
7,,,116.6
8,,,131.9
9,925.0,294.0,150.0
10,,,165.3
11,927.0,313.0,183.3
12,,,198.7
13,927.0,286.0,216.6
14,,,232.3
15,1016.0,298.0,250.3
16,,,266.0
17,1048.0,279.0,284.1
18,1049.0,286.0,300.7
19,1059.0,272.0,317.4
20,1055.0,303.0,334.1
21,1039.0,266.0,350.7
22,1050.0,294.0,367.4
23,1055.0,300.0,384.1
24,1042.0,286.0,400.7
25,1059.0,284.0,417.4
26,1051.0,301.0,434.1
27,,,450.8
28,1047.0,292.0,467.4
29,1054.0,277.0,484.1
30,1072.0,300.0,500.8
31,1093.0,297.0,517.4
32,1083.0,312.0,534.1
33,1088.0,304.0,550.8
34,1096.0,301.0,567.4
35,1082.0,317.0,584.1
36,1089.0,307.0,600.8
37,1075.0,311.0,617.4
38,1077.0,315.0,634.1
39,1082.0,311.0,650.8
40,1085.0,305.0,667.4
41,1085.0,316.0,684.1
42,1090.0,319.0,700.8
43,1085.0,302.0,717.4
44,1083.0,316.0,734.1
45,1085.0,310.0,750.8
46,1106.0,292.0,767.4
47,1090.0,312.0,784.1
48,1081.0,302.0,800.8
49,1087.0,305.0,817.5
50,1096.0,288.0,834.1
51,1104.0,228.0,850.8
52,1099.0,198.0,867.4
53,1100.0,191.0,884.1
54,1100.0,189.0,900.8
55,1103.0,173.0,917.5
56,1100.0,193.0,934.1
57,1099.0,184.0,950.8
58,1100.0,191.0,967.3
59,1102.0,185.0,984.0
60,1109.0,191.0,1000.7
61,1106.0,188.0,1017.3
62,1100.0,195.0,1034.0
63,1093.0,179.0,1050.7
64,1092.0,188.0,1067.3
65,1084.0,190.0,1084.0
66,1100.0,187.0,1100.7
67,1097.0,188.0,1117.3
68,1122.0,153.0,1134.0
69,1113.0,160.0,1150.6
70,1118.0,164.0,1167.3
71,1110.0,162.0,1184.0
72,1113.0,169.0,1200.6
73,1120.0,164.0,1217.3
74,1116.0,168.0,1234.0
75,1120.0,163.0,1250.6
76,1119.0,165.0,1267.3
77,1108.0,165.0,1284.0
78,1118.0,157.0,1300.6
79,1120.0,162.0,1317.3
80,1112.0,160.0,1334.0
81,1117.0,156.0,1350.6
82,1116.0,163.0,1367.3
83,1111.0,160.0,1383.9
84,1116.0,160.0,1400.6
85,1121.0,168.0,1417.3
86,1117.0,160.0,1433.9
87,1114.0,162.0,1450.6
88,1112.0,160.0,1467.4
89,1115.0,157.0,1484.1
90,1115.0,168.0,1500.7
91,1114.0,162.0,1517.4
92,1125.0,162.0,1534.1
93,1117.0,167.0,1550.8
94,1114.0,160.0,1567.4
95,1123.0,168.0,1584.1
96,1128.0,166.0,1600.7
97,1111.0,169.0,1617.4
98,1112.0,169.0,1634.1
99,1110.0,165.0,1650.7
100,1120.0,172.0,1667.5
101,1122.0,164.0,1684.1
102,1114.0,172.0,1700.8
103,1118.0,169.0,1717.5
104,1121.0,166.0,1734.1
105,1117.0,164.0,1750.7
106,1120.0,158.0,1767.5
107,1115.0,172.0,1784.1
108,1113.0,177.0,1800.7
109,1120.0,164.0,1817.5
110,1114.0,171.0,1834.1
111,1120.0,161.0,1850.8
112,1118.0,166.0,1867.4
113,1113.0,170.0,1884.1
114,1117.0,178.0,1900.8
115,1110.0,169.0,1917.4
116,1122.0,173.0,1934.1
117,1113.0,160.0,1950.7
118,1114.0,167.0,1967.4
119,1111.0,163.0,1984.0
120,1115.0,165.0,2000.7
121,1115.0,160.0,2017.3
122,1128.0,167.0,2034.0
123,,,2050.7
124,,,2067.3
125,,,2084.0
126,,,2100.7
127,,,2117.3
128,,,2134.0
129,,,2150.7
130,,,2167.3
131,1111.0,133.0,2184.0
132,1111.0,151.0,2200.7
133,1112.0,145.0,2217.3
134,1112.0,134.0,2234.0
135,1109.0,142.0,2250.7
136,1117.0,139.0,2267.3
137,1120.0,149.0,2284.0
138,1112.0,158.0,2300.7
139,,,2316.0
140,1108.0,139.0,2334.0
141,1116.0,136.0,2350.6
142,1110.0,149.0,2367.3
143,1111.0,156.0,2384.0
144,1108.0,155.0,2400.6
145,1104.0,144.0,2417.3
146,1105.0,151.0,2434.0
147,1100.0,151.0,2450.6
148,1099.0,156.0,2467.3
149,1114.0,141.0,2484.0
150,1114.0,141.0,2500.7
151,1117.0,146.0,2517.4
152,1083.0,192.0,2534.0
153,,,2550.7
154,1057.0,364.0,2567.4
155,,,2584.0
156,1053.0,383.0,2600.7
157,1059.0,377.0,2617.4
158,,,2634.0
159,1049.0,381.0,2650.7
160,1070.0,384.0,2667.4
161,1061.0,370.0,2684.0
162,,,2700.7
163,1056.0,371.0,2717.4
164,,,2734.0
165,1061.0,358.0,2750.7
166,,,2767.4
167,1063.0,377.0,2784.0
168,,,2800.7
169,1072.0,370.0,2817.4
170,,,2834.1
171,1075.0,375.0,2850.7
172,,,2867.4
173,1060.0,372.0,2884.1
174,,,2900.7
175,1062.0,375.0,2917.4
176,,,2934.1
177,1048.0,373.0,2950.7
178,1053.0,357.0,2967.4
179,1082.0,373.0,2984.0
180,1069.0,344.0,3000.7
181,1073.0,375.0,3017.3
182,,,3034.0
183,1075.0,367.0,3050.7
184,1084.0,370.0,3067.3
185,1082.0,340.0,3084.0
186,1082.0,327.0,3100.7
187,1085.0,309.0,3117.4
188,1078.0,329.0,3134.0
189,,,3150.7
190,1078.0,307.0,3167.4
191,1083.0,305.0,3184.0
192,1080.0,327.0,3200.7
193,,,3217.4
194,1079.0,316.0,3234.0
195,1086.0,307.0,3250.7
196,1088.0,332.0,3267.3
197,1086.0,309.0,3284.0
198,1088.0,322.0,3300.7
199,,,3317.4
200,1084.0,322.0,3334.0
201,1084.0,312.0,3350.7
202,,,3367.4
203,1078.0,315.0,3384.0
204,1081.0,309.0,3400.7
205,1084.0,312.0,3417.4
206,1094.0,314.0,3434.0
207,1091.0,317.0,3450.7
208,1089.0,306.0,3467.4
209,1090.0,317.0,3484.0
210,1086.0,316.0,3500.7
211,,,3517.3
212,1077.0,310.0,3534.0
213,1086.0,305.0,3550.7
214,1096.0,299.0,3567.3
215,1080.0,299.0,3584.0
216,1084.0,287.0,3600.6
217,1087.0,323.0,3617.3
218,1075.0,318.0,3634.0
219,1085.0,329.0,3650.6
220,1085.0,313.0,3667.3
221,1084.0,335.0,3684.0
222,1090.0,321.0,3700.6
223,1091.0,333.0,3717.3
224,1087.0,324.0,3734.0
225,1098.0,339.0,3750.6
226,1094.0,335.0,3767.3
227,1093.0,337.0,3783.9
228,1092.0,345.0,3800.6
229,1097.0,316.0,3817.3
230,1093.0,331.0,3834.0
231,1091.0,319.0,3850.6
232,1101.0,335.0,3867.3
233,1096.0,334.0,3883.9
234,1091.0,327.0,3900.6
235,1098.0,324.0,3917.3
236,1105.0,338.0,3933.9
237,1096.0,297.0,3950.6
238,1094.0,319.0,3967.3
239,1093.0,309.0,3983.9
240,1099.0,316.0,4000.6
241,1099.0,314.0,4017.3
242,1106.0,328.0,4033.9
243,1091.0,318.0,4050.6
244,1094.0,313.0,4067.3
245,1104.0,312.0,4083.9
246,1094.0,319.0,4100.6
247,1102.0,301.0,4117.3
248,1093.0,323.0,4133.9
249,1104.0,292.0,4150.6
250,1097.0,322.0,4167.2
251,1105.0,303.0,4183.9
252,1101.0,322.0,4200.6
253,1103.0,298.0,4217.2
254,1091.0,323.0,4233.9
255,1097.0,312.0,4250.6
256,1099.0,328.0,4267.2
