,x,y,times
0,,,0.0
1,,,16.7
2,,,33.4
3,,,50.0
4,,,66.7
5,,,83.4
6,,,100.0
7,,,116.7
8,,,133.4
9,,,150.1
10,,,166.7
11,,,183.5
12,,,200.7
13,,,217.3
14,1070.0,327.0,234.9
15,,,250.8
16,1067.0,330.0,268.4
17,,,284.4
18,1075.0,318.0,302.0
19,,,318.4
20,1084.0,322.0,335.9
21,,,352.7
22,1076.0,320.0,370.3
23,1112.0,307.0,386.9
24,1121.0,302.0,403.6
25,1129.0,300.0,420.2
26,1117.0,305.0,436.9
27,1116.0,316.0,453.5
28,1117.0,292.0,470.2
29,1126.0,310.0,486.8
30,1118.0,303.0,503.5
31,1112.0,303.0,520.2
32,1118.0,306.0,536.8
33,1130.0,311.0,553.5
34,1120.0,299.0,570.2
35,1119.0,295.0,586.8
36,1116.0,321.0,603.5
37,1118.0,311.0,620.1
38,1130.0,304.0,636.8
39,1103.0,298.0,653.5
40,1120.0,302.0,670.1
41,1120.0,288.0,686.8
42,1123.0,314.0,703.5
43,1126.0,296.0,720.1
44,1134.0,298.0,736.8
45,1114.0,307.0,753.5
46,1119.0,292.0,770.1
47,1124.0,313.0,786.8
48,1126.0,295.0,803.4
49,1112.0,309.0,820.1
50,1130.0,306.0,836.8
51,1111.0,300.0,853.4
52,1125.0,303.0,870.1
53,1131.0,295.0,886.8
54,1127.0,306.0,903.4
55,1121.0,304.0,920.1
56,1112.0,322.0,936.8
