,x,y,times
0,956,358,0.0
1,953,407,16.6
2,950,365,33.3
3,975,365,49.9
4,942,355,66.6
5,955,399,83.3
6,958,348,100.0
7,953,357,116.6
8,946,366,133.3
9,950,330,150.0
10,969,399,166.6
11,952,350,183.3
12,949,391,200.0
13,948,252,216.6
14,955,380,233.3
15,952,305,250.0
16,983,185,266.6
17,982,219,283.5
18,990,167,300.0
19,967,134,316.6
20,956,154,333.3
21,939,209,350.0
22,959,121,366.6
23,999,158,383.3
24,997,148,400.0
25,952,186,416.6
26,1010,137,433.3
27,1006,183,450.0
28,959,199,466.6
29,1007,198,483.4
30,986,156,500.0
31,993,181,516.6
32,990,175,533.3
33,970,176,550.0
34,990,177,566.6
35,977,151,583.3
36,1002,166,600.0
37,981,144,616.6
38,975,188,633.3
39,980,168,650.0
40,1004,171,666.6
41,963,154,683.4
42,1000,174,700.0
43,994,133,716.6
44,1032,253,733.2
45,995,346,749.9
46,993,424,766.6
47,992,473,783.2
48,1026,397,799.9
49,994,384,816.5
50,996,408,833.2
51,996,431,849.9
52,992,456,866.5
53,1008,409,883.3
54,994,406,899.9
55,996,431,916.5
