,x,y,times
0,,,0.0
1,,,16.6
2,,,33.3
3,,,50.0
4,,,66.6
5,,,83.3
6,,,100.0
7,,,116.6
8,,,133.3
9,,,150.0
10,,,166.6
11,,,183.3
12,,,200.0
13,,,216.6
14,,,233.3
15,,,250.0
16,,,266.6
17,,,283.3
18,,,299.9
19,,,316.6
20,,,333.3
21,,,349.9
22,,,366.6
23,,,383.3
24,,,399.9
25,,,416.6
26,,,433.3
27,,,449.9
28,,,466.6
29,,,483.3
30,,,499.9
31,,,516.6
32,,,533.3
33,,,549.9
34,,,566.6
35,,,583.3
36,,,599.9
37,,,616.6
38,,,633.3
39,,,649.9
40,,,666.6
41,,,683.2
42,,,699.9
43,,,716.6
44,,,733.2
45,,,749.9
46,,,766.6
47,,,783.2
48,,,799.9
49,,,816.6
50,,,833.2
51,,,849.9
52,,,866.6
53,,,883.2
54,,,899.9
55,,,916.6
56,,,933.2
57,,,949.9
58,,,966.6
59,,,983.2
60,,,999.9
61,,,1016.6
62,,,1033.2
63,,,1049.9
64,,,1066.6
65,,,1083.2
66,,,1099.9
67,,,1116.5
68,,,1133.2
69,,,1149.9
70,,,1166.5
71,,,1183.2
72,,,1199.9
73,,,1216.5
74,,,1233.2
75,,,1249.9
76,,,1266.5
77,,,1283.2
78,,,1299.9
79,,,1316.5
80,,,1333.2
81,,,1349.9
82,,,1366.5
83,,,1383.2
84,,,1399.9
85,,,1416.5
86,,,1433.2
87,,,1449.9
88,,,1466.5
89,,,1483.2
90,,,1499.9
91,,,1516.5
92,,,1533.2
93,,,1549.8
94,,,1566.5
95,,,1583.2
96,,,1599.8
97,,,1616.5
98,,,1633.2
99,,,1649.8
100,,,1666.5
101,,,1683.2
102,,,1699.8
103,,,1716.5
104,,,1733.2
105,,,1749.8
106,,,1766.5
107,,,1783.2
108,,,1799.8
109,,,1816.5
110,,,1833.2
111,,,1849.8
112,,,1866.5
113,,,1883.2
114,,,1899.8
115,,,1916.5
116,,,1933.1
117,,,1949.8
118,,,1966.5
119,,,1983.1
120,,,1999.8
121,,,2016.5
122,,,2033.1
123,,,2049.8
124,,,2066.5
125,,,2083.1
126,,,2099.8
127,,,2116.5
128,,,2133.1
129,,,2149.8
130,,,2166.5
131,,,2183.1
132,,,2199.8
133,,,2216.5
134,,,2233.1
135,,,2244.3
136,,,2261.0
137,,,2277.6
138,,,2294.3
139,,,2310.9
140,,,2327.6
141,,,2344.3
142,1117.0,155.0,2353.7
143,1143.0,236.0,2371.0
144,,,2387.7
145,,,2404.4
146,1142.0,219.0,2411.1
147,1151.0,234.0,2429.1
148,,,2445.8
149,,,2462.4
150,,,2479.1
151,,,2495.7
152,,,2512.4
153,1138.0,225.0,2526.7
154,1123.0,204.0,2544.1
155,1131.0,230.0,2561.8
156,1128.0,228.0,2579.0
157,1131.0,227.0,2596.4
158,1141.0,208.0,2613.6
159,1145.0,223.0,2630.4
160,1117.0,247.0,2647.4
161,1136.0,228.0,2664.1
162,1136.0,242.0,2680.9
163,1141.0,222.0,2697.5
164,1139.0,228.0,2714.2
165,1137.0,225.0,2730.9
166,1142.0,220.0,2747.5
167,1142.0,229.0,2764.2
168,1132.0,237.0,2780.9
169,1145.0,226.0,2797.5
170,1141.0,221.0,2814.2
171,1137.0,229.0,2830.9
172,1140.0,226.0,2847.5
173,1134.0,226.0,2864.2
174,1143.0,228.0,2880.9
175,1141.0,237.0,2897.4
176,1143.0,229.0,2914.1
177,1141.0,233.0,2930.8
178,1141.0,233.0,2947.4
179,1140.0,229.0,2964.1
180,1137.0,228.0,2980.8
181,1057.0,245.0,2997.4
182,1087.0,230.0,3014.1
183,1072.0,232.0,3030.8
184,1073.0,248.0,3047.4
185,1083.0,102.0,3064.1
186,1068.0,231.0,3080.8
187,1065.0,236.0,3097.4
188,1067.0,253.0,3114.1
189,1072.0,232.0,3130.8
190,1073.0,237.0,3147.4
191,1070.0,237.0,3164.1
192,1070.0,235.0,3180.8
193,1071.0,251.0,3197.4
194,1063.0,233.0,3214.1
195,1073.0,241.0,3230.8
196,1068.0,248.0,3247.4
197,1067.0,241.0,3264.1
198,1069.0,239.0,3280.8
199,1066.0,242.0,3297.4
200,1090.0,241.0,3314.1
201,1105.0,241.0,3330.7
202,1104.0,240.0,3347.4
203,1100.0,237.0,3364.1
204,1093.0,241.0,3380.7
205,1100.0,240.0,3397.4
206,1105.0,249.0,3414.1
207,1103.0,238.0,3430.8
208,1101.0,239.0,3447.4
209,1110.0,242.0,3464.1
210,1114.0,240.0,3480.8
211,1108.0,248.0,3497.4
212,1098.0,250.0,3514.1
213,1104.0,242.0,3530.8
214,1105.0,237.0,3547.4
215,1099.0,238.0,3564.1
216,1102.0,241.0,3580.8
217,1102.0,241.0,3597.4
218,982.0,243.0,3614.1
219,878.0,215.0,3630.8
220,890.0,234.0,3647.4
221,870.0,233.0,3664.1
222,876.0,238.0,3680.8
223,874.0,221.0,3697.4
224,874.0,233.0,3714.1
225,877.0,231.0,3730.8
226,869.0,242.0,3747.4
227,870.0,231.0,3764.1
228,868.0,226.0,3780.8
229,879.0,230.0,3797.4
230,874.0,233.0,3814.1
231,869.0,230.0,3830.7
232,874.0,226.0,3847.4
233,871.0,235.0,3864.1
234,883.0,128.0,3880.8
235,868.0,236.0,3897.4
236,872.0,233.0,3914.1
237,874.0,231.0,3930.8
238,875.0,235.0,3947.5
239,873.0,226.0,3964.2
240,872.0,231.0,3980.8
241,871.0,233.0,3997.5
242,872.0,227.0,4014.2
243,874.0,230.0,4030.9
244,945.0,234.0,4047.5
245,903.0,226.0,4064.2
246,924.0,228.0,4080.9
247,920.0,235.0,4097.6
248,918.0,250.0,4114.2
249,917.0,240.0,4130.9
250,921.0,237.0,4147.6
251,915.0,241.0,4164.3
252,921.0,239.0,4180.9
253,920.0,240.0,4197.6
254,917.0,245.0,4214.3
255,917.0,263.0,4230.9
256,925.0,251.0,4247.6
257,921.0,232.0,4264.3
258,923.0,232.0,4281.0
259,924.0,232.0,4297.7
260,919.0,244.0,4314.3
261,919.0,245.0,4331.0
262,928.0,244.0,4347.7
263,923.0,236.0,4364.4
264,927.0,236.0,4381.0
265,927.0,236.0,4397.7
266,918.0,240.0,4414.1
267,923.0,249.0,4430.7
268,922.0,237.0,4447.4
269,936.0,256.0,4464.1
270,933.0,253.0,4480.7
271,936.0,273.0,4497.4
272,924.0,270.0,4514.1
273,936.0,258.0,4530.7
274,933.0,275.0,4547.4
275,935.0,258.0,4564.1
276,937.0,268.0,4580.7
277,937.0,259.0,4597.4
278,935.0,266.0,4614.0
279,938.0,256.0,4630.7
280,928.0,273.0,4647.4
281,940.0,260.0,4664.0
282,939.0,266.0,4680.7
283,933.0,270.0,4697.4
284,935.0,262.0,4714.0
285,941.0,255.0,4730.7
286,936.0,271.0,4747.3
287,1102.0,271.0,4764.0
288,1137.0,270.0,4780.7
289,1137.0,265.0,4797.3
290,1152.0,271.0,4814.0
291,1145.0,278.0,4830.7
292,1142.0,278.0,4847.3
293,1146.0,286.0,4864.0
294,1145.0,277.0,4880.7
295,1143.0,275.0,4897.3
296,1161.0,271.0,4914.1
297,1193.0,264.0,4930.7
298,1182.0,257.0,4947.4
299,1176.0,265.0,4964.1
300,1175.0,269.0,4980.7
301,1177.0,277.0,4997.4
302,1173.0,272.0,5014.1
303,1180.0,264.0,5030.7
304,1182.0,265.0,5047.4
305,1180.0,260.0,5064.1
306,1187.0,271.0,5080.7
307,1179.0,261.0,5097.4
308,1190.0,262.0,5114.0
