,x,y,times
0,942,315,0.0
1,955,189,16.7
2,973,316,33.3
3,964,348,50.0
4,935,251,66.6
5,971,140,83.3
6,948,205,100.1
7,982,224,116.8
8,942,336,133.5
9,988,295,150.1
10,964,232,166.8
11,939,270,183.5
12,976,267,200.1
13,956,288,216.8
14,937,298,233.5
15,949,227,250.1
16,951,259,266.8
17,951,182,283.5
18,1053,220,300.1
19,1040,184,316.8
20,1010,329,333.5
21,1002,340,350.1
22,1040,322,366.8
23,1002,297,383.5
24,1027,314,400.1
25,983,237,416.8
26,1014,284,433.5
27,1008,304,450.1
28,1031,309,466.8
29,991,252,483.5
30,1030,222,500.1
31,1037,245,516.8
32,1056,351,533.5
33,1059,335,550.1
34,1045,319,566.8
35,1075,249,583.5
36,1067,332,600.0
37,1095,260,616.7
38,1093,204,633.4
39,1078,285,650.0
40,1055,334,666.6
41,1080,225,683.4
42,1063,321,700.0
43,1082,309,716.7
44,1071,234,733.3
45,1061,316,750.0
46,1061,327,766.7
47,1076,288,783.3
48,1061,279,800.0
49,1061,305,816.6
50,1056,353,833.3
51,1065,364,850.0
52,1077,367,866.6
53,1066,309,883.3
54,1093,322,900.0
55,1051,268,916.6
56,1071,353,933.3
57,1074,361,949.9
58,1082,321,966.6
59,1076,382,983.3
60,1046,355,999.9
61,1052,348,1016.6
