,x,y,times
0,,,0.0
1,963.0,321.0,18.5
2,,,35.2
3,923.0,254.0,53.3
4,,,69.8
5,918.0,293.0,88.0
6,913.0,290.0,105.9
7,,,122.4
8,940.0,289.0,140.5
9,899.0,266.0,158.3
10,941.0,268.0,174.9
11,932.0,345.0,191.6
12,932.0,313.0,208.3
13,950.0,279.0,224.9
14,959.0,303.0,241.6
15,913.0,274.0,258.3
16,923.0,271.0,274.9
17,961.0,288.0,291.9
18,922.0,255.0,308.8
19,,,325.9
20,,,343.1
21,912.0,312.0,360.6
22,,,378.0
23,,,395.4
24,930.0,335.0,413.1
25,929.0,325.0,430.5
26,949.0,390.0,447.9
27,903.0,367.0,465.1
28,,,483.0
29,,,500.5
30,,,516.9
31,,,535.0
32,,,551.4
33,,,569.5
34,,,587.0
35,1111.0,390.0,604.5
36,1071.0,298.0,621.9
37,1088.0,362.0,639.7
38,,,656.1
39,,,674.3
40,,,690.9
41,1120.0,411.0,707.5
42,,,724.2
43,,,739.5
44,1083.0,322.0,757.6
45,1096.0,320.0,774.2
46,1077.0,357.0,790.9
47,,,807.6
48,,,824.2
49,,,840.9
50,,,856.6
51,1078.0,369.0,874.7
52,,,891.4
53,1079.0,394.0,908.1
54,1064.0,364.0,924.8
55,1098.0,350.0,941.4
56,1030.0,304.0,958.1
57,,,974.8
58,,,991.4
59,,,1008.1
60,1069.0,333.0,1024.6
61,1075.0,333.0,1041.3
62,,,1056.5
63,1018.0,336.0,1074.6
64,1048.0,370.0,1091.3
65,1019.0,339.0,1107.9
66,1067.0,349.0,1124.6
67,1042.0,365.0,1141.3
68,,,1156.5
69,1023.0,332.0,1174.6
70,1021.0,293.0,1191.2
71,1030.0,381.0,1207.9
72,1030.0,327.0,1224.6
73,1005.0,314.0,1241.2
74,1000.0,297.0,1257.9
75,1017.0,348.0,1274.6
76,1030.0,314.0,1291.2
77,1049.0,353.0,1307.9
78,1016.0,328.0,1324.6
79,1027.0,351.0,1341.3
80,1000.0,310.0,1357.9
81,1023.0,369.0,1374.6
82,1022.0,322.0,1391.2
83,1047.0,322.0,1407.9
84,1004.0,317.0,1424.5
85,996.0,324.0,1441.2
86,1029.0,325.0,1457.9
87,1031.0,363.0,1474.5
88,1004.0,318.0,1491.2
89,998.0,350.0,1507.9
90,1004.0,336.0,1524.5
91,1002.0,331.0,1541.3
92,1008.0,376.0,1558.0
93,984.0,362.0,1574.7
94,1070.0,468.0,1591.3
95,1006.0,349.0,1608.0
96,948.0,352.0,1624.8
97,,,1641.7
98,961.0,334.0,1659.0
99,840.0,387.0,1676.2
100,,,1693.9
101,,,1711.3
102,,,1728.7
103,784.0,427.0,1746.0
104,972.0,379.0,1763.4
105,933.0,356.0,1781.0
106,949.0,406.0,1798.7
107,927.0,371.0,1816.7
108,940.0,345.0,1834.5
109,882.0,394.0,1852.6
110,,,1869.1
111,826.0,361.0,1887.2
112,,,1903.9
113,838.0,379.0,1922.0
114,824.0,365.0,1940.1
115,817.0,380.0,1957.9
116,847.0,361.0,1975.9
117,838.0,391.0,1993.9
118,842.0,402.0,2012.3
119,822.0,424.0,2030.1
120,840.0,367.0,2046.6
121,734.0,447.0,2063.3
122,846.0,425.0,2080.0
123,847.0,343.0,2096.7
124,838.0,376.0,2113.3
125,838.0,397.0,2130.0
126,868.0,340.0,2146.6
127,,,2163.4
128,956.0,327.0,2181.0
129,946.0,299.0,2198.4
130,966.0,368.0,2216.2
131,976.0,304.0,2233.6
